provider_id	vehicle_id	option_id	option_name	option_type	unlock_fee_eur	reservation_fee_eur	fixed_fee_eur	trip_fee_eur	min_total_eur	cap_24h_eur	airport_fee_eur	drive_day_min_rate_eur	drive_night_min_rate_eur	park_day_min_rate_eur	park_night_min_rate_eur	km_rate_eur	fuel_included	parking_included	package_price_eur	included_min	included_km	over_km_rate_eur	over_day_min_rate_eur	over_night_min_rate_eur	daily_price_eur	daily_included_km	daily_unlimited_km	daily_over_km_rate_eur	source_url	notes
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_12h_150km	12h + 150km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	60.10	720	150								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_12h_250km	12h + 250km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	87.70	720	250								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_12h_30km	12h + 30km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	27.10	720	30								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_12h_500km	12h + 500km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	156.60	720	500								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_12h_50km	12h + 50km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	32.60	720	50								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_12h_75km	12h + 75km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	39.50	720	75								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_1h_10km	1h + 10km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	8.30	60	10								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_1h_20km	1h + 20km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	11.10	60	20								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_1h_30km	1h + 30km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	13.80	60	30								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_1h_50km	1h + 50km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	19.40	60	50								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_1h_5km	1h + 5km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	6.99	60	5								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
